Before & After	Number of Words	Total Number of Letters	First Word Letters
Global Impact Statement	3	21	6
Global Village Idiot	3	18	6
Go Ahead Make My Day Care Center	7	26	2
Going Green Bananas	3	17	5
Going Steady Rain	3	15	5
Gold Tooth Fairy	3	14	4
Golden Age Before Beauty	4	21	6
Golden Gate Bridge Game	4	20	6
Golden Globe Theatre	3	18	6
Golden Triangle Of Art Supplies	5	27	6
Goldfish Bowl Of Soup	4	18	8
Golf Bag Of Chips	4	14	4
Golf Bag Of Potato Chips	5	20	4
Golf Course Of Action	4	18	4
Golf Swing Band	3	13	4
Good Luck Of The Draw	5	17	4
Good Mood Ring	3	12	4
Good Will Hunting Season	4	21	4
Google Drive Safely	3	17	6
Google Search Party	3	17	6
Graduate Student Council	3	22	8
Graduation Day Of Reckoning	4	24	10
Grand Opening Act	3	15	5
Grand Place Of Birth	4	17	5
Granny Rock The Boat	4	17	6
Granola Bar Of Soap	4	16	7
Grateful Dead As A Doornail	5	23	8
Graveyard Shift Into High Gear	5	26	9
Gravy Boat Captain	3	16	5
Gravy Train Of Thought	4	19	5
Gray Wolf Blitzer	3	15	4
Great Wall Of China Dolls	5	21	5
Green Thumb A Ride	4	15	5
Grizzly Bear Market	3	17	7
Grover Cleveland Browns	3	21	6
Grover Cleveland Ohio	3	19	6
Grow Up Up And Away	5	15	4
Guilt Trip Of A Lifetime	5	20	5
Guinea Pig Latin	3	14	6
Guitar Pick A Fight	4	16	6
Hair Spray Paint	3	14	4
Hall Of Fame & Fortune	4	17	4
Halle Berry Gordy	3	15	5
Halle Berry Pie	3	13	5
Halle Berry Turnover	3	18	5
Hamster Wheel Of Fortune	4	21	7
Hand Cream Of The Crop	5	18	4
Hand Cream Pitcher	3	16	4
Hand Cream Soda	3	13	4
Happy Birthday Suit	3	17	5
Happy Days Of Our Lives	5	19	5
Happy Days Of Wine And Roses	6	23	5
Happy Father's Day Trading	4	22	5
Hard As A Rock-And-Roll	4	18	4
Harrison Ford Pickup Truck	4	23	8
Harry Truman Capote	3	17	5
Haunted House Of Cards	4	19	7
Haunted House Salad	3	17	7
Haunted House Sitter	3	18	7
Having A Great Time Zone	5	20	6
Haystack Rock Of Ages	4	18	8
He Got Game Of Thrones	5	18	2
He Got Games Of Thrones	5	19	2
Heart Of Gold Bricks	4	17	5
Heaven On Earth Angel	4	18	6
Heavy-Metal Rock Garden	3	20	10
Helen Of Troy Michigan	4	19	5
Helicopter Pad & Pencil	3	19	10
Help Wanted Dead Or Alive	5	21	4
Helpful Tip Jar	3	13	7
Helping Hand Sanitizer	3	20	7
Helping Hand Soap	3	15	7
Herbie The Love Bug Spray	5	21	6
Herd Of Buffalo Wings	4	18	4
Hershey's Kiss Of Death	4	19	8
Hersheys Kiss Of Death	4	19	8
Hidden Talent Manager	3	19	6
High Cost Of Living Dangerously	5	27	4
High Pitch The Ball	4	16	4
High Surf The Web	4	14	4
Hiking In A Cloud Forest	5	20	6
History In The Making Ends Meet	6	26	7
Hit Or Miss You Already	5	19	3
Hit The Deck Of Cards	5	17	3
Hit The Nail On The Head Of The Household	9	33	3
Hitching Post Office	3	18	8
Hitting The Mother Lode	4	20	7
Holding Hands Down	3	16	7
Hole In One Of A Kind	6	16	4
Holiday Cheer For The Underdog	5	26	7
Hollywood Bowl Of Cereal	4	21	9
Hollywood Squares Of Chocolate	4	27	9
Home Alone Together	3	17	4
Home On The Range Rover	5	19	4
Home Sweet Home On The Range	6	23	4
Home Sweet Home Planet	4	19	4
Homecoming Court Of Appeals	4	24	10
Homecoming Queen Elizabeth	3	24	10
Honda Civic Center	3	16	5
Honda Civic Duty	3	14	5
Honest Opinion Poll	3	17	6
Honeymoon Cottage Cheese	3	22	9
Honkey Tonk Bar Of Soap	5	19	6
Honky-Tonk Bar Of Soap	4	18	9
Hookah Bar Of Soap	4	15	6
Hoover Dam Square	3	15	6
Horse Sense Of Humor	4	17	5
Hospital Bed In A Bag	5	17	8
Host And Hostess	3	14	4
Hot Dog Stand By Your Man	6	20	3
Hot Fudge Sauce	3	13	3
Hot Tub Of Lard	4	12	3
House Key To Happiness	4	19	5
How I Met Your Mother Goose	6	22	3
Howard Stern Talking-To	3	20	6
Hudson Bay At The Moon	5	18	6
Huey Lewis & The News Bulletin	5	24	4
I Can Go For Miles Straume	6	21	1
I Don't Want To Gain A Pound Cake	8	25	1
I Got Safe And Sound The Alarm	7	24	1
I Hope You Dance Instructor	5	23	1
I Love My Cat Cora	5	14	1
I Love You With All Of My Heart Of Darkness	10	34	1
I Need My Space Shuttle	5	19	1
I Speak English Muffin	4	19	1
I Speak French Onion Soup	5	21	1
I Speak French Toast	4	17	1
I Will Always Be True Romance	6	24	1
I'll Try Anything Once Upon A Time	7	27	3
I'M Done Deal	3	10	2
I'M Losing My Mind Over Matter	6	24	2
I'M Over The Moon Landing	5	20	2
I've Got Your Back To The Drawing Board	8	31	3
I've Made It Perfectly Clear Skies	6	28	3
Ice Chest Of Drawers	4	17	3
Ice Cream Social Security	4	22	3
Ice Cube Steak	3	12	3
Ice Pick Your Battles	4	18	3
Iced Tea With Lemon & Sugar	5	21	4
Identical Twin Peaks	3	18	9
Iggy Pop Culture	3	14	4
I'M Done Deal	3	10	2
Impound Yard Sale	3	15	7
In A Flash Gordon	4	14	2
In A State Of Emergency	5	19	2
In My Humble Opinion Poll	5	21	2
In The First Place Of Origin	6	23	2
In The Public Eye Of The Storm	7	24	2
In The Red Square	4	14	2
In Total Shock Absorbers	4	21	2
Inaugural Ball Of Yarn	4	19	9
Inclined Plane Tickets	3	20	8
Independence Hall & Oates	3	21	12
Individual Liberty Bell	3	21	10
Individual Results May Vary	4	24	10
Infinity Pool Shark	3	17	8
Inner Beauty Pageant	3	18	5
Inner Court Of Law	4	15	5
Insect Bite The Bullet	4	19	6
Insect Spray Tan	3	14	6
Instant Cash Flow	3	15	7
Instruction Manual Transmission	3	29	11
Intelligence Community Effort	3	27	12
Intelligent Community Effort	3	26	11
Interest Rate Of Return	4	20	8
Ironing Board Of Health	4	20	7
Is The Food Warm Embrace	5	20	2
Is There A Doctor In The House Of Pancakes	9	34	2
Island Hopping Mad	3	16	6
Island-Hopping Mad	2	16	13
It Caught My Eye Of A Needle	7	22	2
It Makes My Head Spin Or Solve	7	24	2
It Slipped My Mind Your Own Business	7	30	2
It Takes One To Know One Of A Kind	9	26	2
It Takes Two To Tango Dancers	6	24	2
It's A Wild World Cup	5	16	3
It's A Wonderful Life Savings	5	24	3
It's All Good Friday	4	16	3
It's Good To Be The King County	7	24	3
It's Good To Be The King Kong	7	22	3
It's Not Easy Being Green Book	6	24	3
It's Not Easy Being Green With Envy	7	28	3
It's Up In The Air Fryer	6	18	3
It's As Good As New York City	7	22	3
It's Hip To Be Square Root	6	20	3
It's Not Easy Being Green With Envy	7	28	3
Itunes Library Card	3	17	6
Jack Black Market	3	15	4
Jack Black Olives	3	15	4
Jack Black-Tie Affair	3	18	4
Jack London England	3	17	4
James Joyce Dewitt	3	16	5
James Madison Wisconsin	3	21	5
Japanese Tea Ceremony	3	19	8
Jason Alexander Hamilton	3	22	5
Jefferson Airplane Propeller	3	26	9
Jefferson Airplane Seat	3	21	9
Jefferson Airplane Seats	3	22	9
Jefferson Airplane Ticket	3	23	9
Jello Mold & Mildew	3	15	5
Jelly Roll With The Punches	5	23	5
Jennifer Hudson River	3	19	8
Jennifer Lawrence Of Arabia	4	24	8
Jeremy Irons In The Fire	5	20	6
Jerry Lee Lewis And Clark	5	21	5
Jimmie Walker Texas Ranger	4	23	6
Jingle Bell Rock Paper Scissors	5	27	6
Job Security Camera	3	17	3
Jodie Foster Parents	3	18	5
Joe Cocker Spaniel	3	16	3
Joey Lawrence Of Arabia	4	20	4
Jogging Path To Success	4	20	7
John Candy Cane	3	13	4
John Denver Colorado	3	18	4
Johnny Carson Daly	3	16	6
Johnny Cash Advance	3	17	6
Johnny Cash Or Check?	4	17	6
Johnny Cash Or Credit?	4	18	6
Jolly Old Saint Nick Nolte	5	22	5
Jon Snow Day	3	10	3
Jon Snow Peas	3	11	3
Jude Law & Order	3	12	4
Jude Law Clerk	3	12	4
Jude Law School	3	13	4
Juicy Roasted Turkey	3	18	5
Julius Caesar Salad	3	17	6
Jumbo Jet Lag	3	11	5
Jump Right In Like Flynn	5	20	4
Jumping Up And Down Payment	5	23	7
Jumping-Off Point Of Interest	4	25	10
Junk Food For Thought	4	18	4
Jurassic Park Avenue	3	18	8
Jurassic Park Bench	3	17	8
Jurassic Park The Car	4	18	8
Just A Spoonful Of Sugar Magnolia	6	28	4
Just Before Dawn Of The Dead	6	23	4
Just In The Nick Of Time Capsule	7	26	4
Just In The Nick Of Time Is On My Side	10	29	4
Just The Way You Are We There Yet?	8	26	4
Justice Of The Peace And Quiet	6	25	7
Kangaroo Court Reporter	3	21	8
Kanye West Coast	3	14	5
Kanye West Hollywood	3	18	5
Karaoke Bar Mitzvah	3	17	7
Karaoke Bar Of Soap	4	16	7
Karate Chop Suey	3	14	6
Kate Hudson River	3	15	4
Katy Perry Mason	3	14	4
Keep In Contact Lenses	4	19	4
Keep Off The Grass Skirt	5	20	4
Keith Urban Legend	3	16	5
Keith Urban Myth	3	14	5
Kevin Bacon & Eggs	3	14	5
Kevin Bacon And Eggs	4	17	5
Kevin Bacon Bits	3	14	5
Kevin Bacon Strips	3	16	5
Kevin Durant Oklahoma	3	19	5
Key Chain Of Events	4	16	3
Key Lime Pie Chart	4	15	3
Killer Shark Tank	3	15	6
King Of The Hill Of Beans	6	20	4
King Of The Jungle Gym	5	18	4
King Of The Road Warrior	5	20	4
Kiss Me I'M Irish Setter	5	19	4
Kit Carson Daly	3	13	3
Kitchen Sink Or Swim	4	17	7
Kitchen Sponge Cake	3	17	7
Knights Of The Round Table Of Contents	7	32	7
Knowledge Is Power Brake	4	21	9
Lab Rat On Your Friend	5	18	3
Labor Of Love Always	4	17	5
Labor Of Love Thy Neighbor	5	22	5
Labour Of Love Always	4	18	6
Lake Superior Attitude	3	20	4
Lake Superior Intelligence	3	24	4
Lakeside Cottage Cheese	3	21	8
Land Down Under The Radar	5	21	4
Landscape Artist Loft	3	19	9
Larger Than Life Insurance	4	23	6
Larry King Of Morocco	4	18	5
Larry King Of The Jungle	5	20	5
Larry Moe & Curly Fries	4	18	5
Last Man Standing The Test Of Time	7	28	4
Late-Night Dinner Seating	3	22	9
Laugh Track And Field	4	18	5
Laughing All The Way To The Bank Teller	8	32	8
Laverne & Shirley Maclain	3	21	7
Law & Order Form	3	12	3
Law Degree Of Certainty	4	20	3
Law Firm Handshake	3	16	3
Law Firm Mattress	3	15	3
Law School Of Fish	4	15	3
Lay An Egg Salad Sandwich	5	21	3
Leading Edge Of A Cliff	5	19	7
Leading Lady Gaga	3	15	7
Leap Of Faith Hope And Charity	6	25	4
Learning Curve Ball	3	17	8
Learning The Hard Way Of The Samurai	7	30	8
Learning To Speak Chinese Chicken Salad	6	34	8
Learning To Speak English Muffins	5	29	8
Learning To Speak French Bistro	5	27	8
Learning To Speak French Bulldog	5	28	8
Learning To Speak French Dressing	5	29	8
Learning To Speak French Manicure	5	29	8
Learning To Speak Greek Yogurt	5	26	8
Learning To Speak Russian Dressing	5	30	8
Learning To Tango Alpha Bravo	5	25	8
Leave Well Enough Alone At Last	6	26	5
Leaving Early Retirement	3	22	7
Lebron James Franco	3	17	6
Lebron James Woods	3	16	6
Lecture Circuit Breaker	3	21	7
Left In The Dark Chocolate	5	22	4
Legal Brief Encounter	3	19	5
Legal Brief Message	3	17	5
Legal Guardian Angel	3	18	5
Lemon Pie Chart	3	13	5
Lemon Twist My Arm	4	15	5
Lemonade Stand By	3	15	8
Lemonade Stand For Something	4	25	8
Lengthy Trial Offer	3	17	7
Let Her Rip Van Winkle	5	18	3
Let Me Make This Clear Day	6	21	3
Let Me Make This Clear View	6	22	3
Let Out The Clutch Bags	5	19	3
Let Sleeping Dogs Lie Like A Rug	7	26	3
Let The Cat Out Of The Bag Of Groceries	9	31	3
Let The Cat Out Of The Bag Of Tricks	9	28	3
Let The Cat Out The Bag Of Groceries	8	29	3
Let There Be Light Bulb	5	19	3
Let Your Hair Down The Hatch	6	23	3
Let's Eat Spaghetti Westerns	4	24	4
Let's Paint The Town Red Sox	6	22	4
Let's Play A Game Of Thrones	6	22	4
Let's Play The Next Round Robin	6	25	4
Let's Touch Base Camp	4	17	4
Level The Playing Field Mouse	5	25	5
Lewis & Clark Kent	3	14	5
Liar Liar Pants On Fire Escape	6	25	4
Liberty & Hall Monitor	3	18	7
Liberty Bell Peppers	3	18	7
Liberty Bell-Bottom Jeans	3	22	7
Life Begins At Forty Days And Forty Nights	8	35	4
Life Of The Party Animal	5	20	4
Life Of The Party Crasher	5	21	4
Life Of The Party Favor	5	19	4
Lifeguard On Duty Calls	4	20	9
Lifelong Friendship Park	3	22	8
Life's Too Short Term Memory	5	23	5
Lights Camera Action Adventure Movie	5	32	6
Lights Camera Action Figure	4	24	6
Lights Camera Action Figures	4	25	6
Like A Rolling Stone Crab Claw	6	25	4
Lime Sherbert	2	12	4
Lime Sherbet	2	11	4
Limited Engagement Ring	3	21	7
Lint Roller Skating	3	17	4
Lip Service Elevator	3	18	3
Litter Box Of Chocolates	4	21	6
Litter Box Turtle	3	15	6
Litter Box Turtles	3	16	6
Little Big Town Sheriff	4	20	6
Little House On The Prairie Dog	6	26	6
Live-In Maid Of Honor	4	17	6
Living In A Fantasy Football	5	24	6
Living Proof Of Purchase	4	21	6
Liz Lemon Pie	3	11	3
Lobster Claw Hammer	3	17	7
Local Hero Sandwich	3	17	5
Local Hot Spot Remover	4	19	5
Local Library Card	3	16	5
Lock Stock And Barrel-Chested	4	25	4
Lock-Stock And Barrel Chested	4	25	9
Log Cabin Cruiser	3	15	3
Log Cabin Fever	3	13	3
Log Cabin Pressure	3	16	3
Lombard Street	2	13	7
Lone Star State Of Confusion	5	24	4
Long Distance Trucker Hat	4	22	4
Long Island Sound Asleep	4	21	4
Long Island Sound Check	4	20	4
Long Shot In The Dark	5	17	4
Long Stretch Of Highway Patrolman	5	29	4
Long-Distance Trucker Hat	3	22	12
Look Before You Leap Year	5	21	4
Look Out Below Sea Level	5	20	4
Look Sharp Cheddar Cheese	4	22	4
Loretta Lynn Anderson	3	19	7
Los Angeles California Roll	4	24	3
Louisiana Purchase Price	3	22	9
Love At First Sight For Sore Eyes	7	27	4
Love Conquers All Talk No Action	6	27	4
Love Is Essential Elements	4	23	4
Love Is In The Air Conditioner	6	25	4
Love Is In The Air Hockey	6	20	4
Love Me Tender Steak	4	17	4
Loves Me Like A Rock Lobster	6	23	5
Luck Be A Lady Gaga	5	15	4
Luck Of The Irish Setter	5	20	4
Lucky Break In The Action	5	21	5
Lucky Charm Bracelet	3	18	5
Lucky Guess What?	3	14	5
Lucy In The Sky With Diamonds Are Forever	8	34	4
Lunch Break In Half	4	16	5
Luxury Car Loan	3	13	6
Macadamia Nuts And Bolts	4	21	9
Mad About You Gonna Eat That?	6	23	3
Mad Dash Of Salt	4	13	3
Madame Butterfly Net	3	18	6
Made From Scratch And Sniff	5	23	4
Made From Scratch My Back	5	21	4
Made-To-Order In The Court	4	21	11
Madison Square Garden Hose	4	23	7
Madison Square Garden Of Eden	5	25	7
Mae West Virginia	3	15	3
Magazine Cover Charge	3	19	8
Magazine Rack Of Lamb	4	18	8
Magnesium Sheets Of Paper	4	22	9
Magnetic Field Of Interest	4	23	8
Maiden Name Brand	3	15	6
Main Course Of Action	4	18	4
Main Event Planner	3	16	4
Main Road Map	3	11	4
Main Squeeze Chute	3	16	4
Make The Grade School	4	18	4
Makeup Bag Of Tricks	4	17	6
Making A Judgement Call Waiting	5	27	6
Making A Judgment Call Waiting	5	26	6
Man About Town Hero	4	16	3
Man Cave Dwellers	3	15	3
Man's Best Friend Of The Family	6	25	4
Marco Polo Pony	3	13	5
Marco Polo Shirt	3	14	5
Marilyn Monroe Doctrine	3	21	7
Marlo Thomas Jefferson	3	20	5
Marriage Oath Of Office	4	20	8
Marsha Mason-Dixon Line	3	20	6
Martin Lawrence Of Arabia	4	22	6
Martin Short Order Cook	4	20	6
Mary Had A Little Lamb Chop	6	22	4
Mary Had A Little Lamb Stew	6	22	4
Mary Had A Little Lamp Stew	6	22	4
Master Bedroom Slippers	3	21	6
Master Key Largo	3	14	6
Match Made In Heaven On Earth	6	24	5
Maternity Leave Of Absence	4	23	9
Maternity Ward Cleaver	3	20	9
Mating Call Forwarding	3	20	6
Matt Damon Wayans	3	15	4
May I Take Your Order In The Court	8	27	3
Mayflower Compact Car	3	19	9
Meanwhile Back At The Ranch Dressing	6	31	9
Measuring Jug Of Milk	4	18	9
Medal Of Honor Student	4	19	5
Medieval Legends	2	15	8
Meet The Press Secretary	4	21	4
Meet The Press Your Pants	5	21	4
Membership Drive Safely	3	21	10
Memory And Thank-You Card	4	21	6
Men At Work For A Living	6	19	3
Men In Black Coffee	4	16	3
Merlin The Wizard Island	4	21	6
Metal Beam Of Light	4	16	5
Meteor Crater Lake	3	16	6
Meteoric Rise And Shine	4	20	8
Meter Maid Of Honor	4	16	5
Miami Heat Index	3	14	5
Miami Vice President	3	18	5
Michael Bay Leaves	3	16	7
Michael Douglas Fairbank Jr.	4	24	7
Michael Douglas Fairbanks Jr	4	25	7
Michael Douglas Fairbanks Jr.	4	25	7
Middle Initial Public Offering	4	27	6
Mike Judge & Jury	3	13	4
Military Academy Awards	3	21	8
Military Base Salary	3	18	8
Milk Shake A Leg	4	13	4
Milky Way Candy Bar Exam	5	20	5
Miss Piggy Bank	3	13	4
Mission Control Switch	3	20	7
Mississippi River Dolphin	3	23	11
Mobile Home On The Range	5	20	6
Modern Art Garfunkel	3	18	6
Modern Family Reunion	3	19	6
Modern Family Room	3	16	6
Modified Plan Of Action	4	20	8
Mona Lisa Simpson	3	15	4
Money In The Bank Auditor	5	21	5
Money Tree Doctor	3	15	5
Monkey Bars Of Soap	4	16	6
Monkey Business Card	3	18	6
Monkey Business Cards	3	19	6
Monkey Business Proposition	3	25	6
Monopoly Money Order	3	18	8
Monterey Bay Leaves	3	17	8
Mood Ring Around The Collar	5	23	4
Mood Ring The Doorbell	4	19	4
Mood Swing Music	3	14	4
Moon Over Miami Dolphins	4	21	4
Moot Point Taken	3	14	4
Mop Bucket List	3	13	3
Moral Support Hose	3	16	5
Mosquito Bite The Dust	4	19	8
Mother Goose Bumps	3	16	6
Mother Goose Egg	3	14	6
Mother Nature Trail	3	17	6
Mother Ship Canal	3	15	6
Motor Oil & Vinegar	3	15	5
Motor Oil And Vinegar	4	18	5
Mountain Range Of Motion	4	21	8
Moustache Wax Museum	3	18	9
Movie Night Of The Living Dead	6	25	5
Moving Van Morrison	3	17	6
Mr. Potato Head Cheerleader	4	23	2
Mr. Potato Head Of The Class	6	22	2
Muffin Top Of The World	5	19	6
Mumbo Jumbo Jet	3	13	5
Museum Square Jaw	3	15	6
Music City Center Of The Universe	6	28	5
Musical Act Your Age	4	17	7
Musical Ear Of Corn	4	16	7
My Dog Spot Remover	4	16	2
My Fair Lady Gaga	4	14	2
My Fair Lady Godiva	4	16	2
My Fair Lady In Waiting	5	19	2
Nail File For Divorce	4	18	4
Naked Eye Candy	3	13	5
Name Your Price Of Admission	5	24	4
Nancy Drew Barrymore	3	18	5
Napkin Ring Of Fire	4	16	6
Nat King Cole Porter	4	17	3
Nat King Cole Slaw	4	15	3
National Football League Of Legends	5	31	8
National Football League Of Nations	5	31	8
National Public Radio City Music Hall	6	32	8
National Security Badge	3	21	8
Native Tongue Twisters	3	20	6
Natural-Born Leader Of The Pack	5	26	11
Neighborhood Bar Of Soap	4	21	12
Neil Diamond In The Rough	5	21	4
Neil Diamond Pendant	3	18	4
Neil Simon Cowell	3	15	4
Neil Young At Heart	4	16	4
New Clothing Line Of Thinking	5	25	3
New Kids On The Block Of Ice	7	22	3
New York City Ballet Flats	5	22	3
New York Pennsylvania	3	19	3
News Flash Mob	3	12	4
Nicolas Cage Fighter	3	18	7
Night On The Town Crier	5	19	5
Night-Light As A Feather	4	20	10
Night-Light At The End Of The Tunnel	7	29	10
No Deposit No Return Yards	5	22	2
No Money Down-And-Dirty	3	19	2
No Right Turn On Red Peppers	6	23	2
No Trespassing Sign Of The Times	6	27	2
Nobel Prize For Medicine Chest	5	26	5
Nobody's Perfect Stranger	3	22	7
Nobody's Perfect Strangers	3	23	7
Nobody's Perfect Timing	3	20	7
North Dakota Fanning	3	18	5
North Star Pupil	3	14	5
Not Just Another Pretty Face In The Crowd	8	34	3
Not Just Another Pretty Face Value	6	29	3
Not My Cup Of Tea For Two	7	19	3
Not On Your Life Of The Party	7	23	3
Not Playing With A Full Deck Chair	7	28	3
Not Playing With A Full Deck The Halls	8	31	3
Nothing In Life Is Free Admission	6	28	7
Oak Leaf Blower	3	13	3
Oakland Raiders Of The Lost Ark	6	26	7
Observation Deck Of Cards	4	22	11
Obstacle Course Of Action	4	22	8
Ocean Water Clock	3	15	5
Ocean Water Cooler	3	16	5
Off And Running On Empty	5	20	3
Office Pool Boy	3	13	6
Office Space Capsule	3	18	6
Office Space Invaders	3	19	6
Office Space Shuttle	3	18	6
Official Rules & Regulations	3	24	8
Oil Change Of Opinion	4	18	3
Oil Well Thanks Anyway	4	19	3
Old King Cole Slaw	4	15	3
Old Navy Beans	3	12	3
Olivia Newton-John F. Kennedy	4	24	6
On Cloud Nine Iron	4	15	2
On Cloud Nine-Hole Golf Course	5	25	2
On The Cutting Edge Of Darkness	6	26	2
On The Right Track And Field	6	23	2
On The Right Track Meet	5	19	2
On The Spur Of The Moment To Remember	8	30	2
On Top Of The World Series	6	21	2
One Of The Family Recipe	5	20	3
One Smart Cookie Dough	4	19	3
One Step At A Time Heals All Wounds	8	28	3
One-Man Band Of Brothers	4	20	6
Onion Rings Of Saturn	4	18	5
Onion Soup Mix And Match	5	20	5
Online Search And Rescue	4	21	6
Open All Night Owl	4	15	4
Open Sesame Seed Bun	4	17	4
Open Sesame Street	3	16	4
Orange Is The New Black Friday	6	25	6
Orange Julius Caesar	3	18	6
Orange Pulp Fiction	3	17	6
Orchestra Pit Bull	3	16	9
Orchestra Pit Stop	3	16	9
Order In The Court Reporter	5	23	5
Oregon Coast Trail Mix	4	19	6
Organized Labor Of Love	4	20	9
Orient Express Bus	3	16	6
Other People's Money Is No Object	6	27	5
Out Of Left Field Goal Kicker	6	24	3
Out Of Sight Unseen	4	16	3
Out Of Step Wisely	4	15	3
Out Of The Blue Bloods	5	18	3
Outer Space Heater	3	16	5
Oval Office Cubicle	3	17	4
Oven Rack Of Lamb	4	14	4
Over And Out With Friends	5	21	4
Over My Dead Body Language	5	22	4
Over Your Shoulder Of The Road	6	25	4
Overdue Bill Murray	3	17	7
Overnight Stay And Let's Talk Awhile	6	30	9
Over-The-Hill Of Beans	3	18	11
Over-The-Hill Of Tara	3	17	11
Overtime Pay It Forward	4	20	8
Oysters & David Rockefeller	3	23	7
Ozone Layer Cake	3	14	5
Pacific Ocean Floor	3	17	7
Paddle Wheel Of Fortune	4	20	6
Paid In Full Moon	4	14	4
Paid Leave Quietly	3	16	4
Paint The Town Red Stop Sign	6	23	5
Painting The Town Red Apples	5	24	8
Palace Complex Sentence	3	21	6
Panic Button Down Collar	4	21	5
Panic Button Your Shirt	4	20	5
Panic Button-Down Collar	3	21	5
Pants Pocket Veto	3	15	5
Parachute Jump For Joy	4	19	9
Parachute Jumping On The Bandwagon	5	30	9
Parade Path Of Destruction	4	23	6
Parallel Parking Lot	3	18	8
Pardon My French Fries	4	19	6
Pardon My French Manicure	4	22	6
Pardon My French Quarters	4	22	6
Pardon My French Toast	4	19	6
Park Bench Trial	3	14	4
Park Teddy Roosevelt	3	18	4
Parking In The Rear Window	5	22	7
Parking Spot Remover	3	18	7
Party Animal Planet	3	17	5
Party Dress Pants	3	15	5
Party Dress Rehearsal	3	19	5
Party Punch In The Nose	5	19	5
Passing A Math Test Kitchen	5	23	7
Passing The Buck Stops Here	5	23	7
Past Due Process	3	14	4
Pasteurized Milk Of Magnesia	4	25	11
Patent Leather And Bowling Shoes	5	28	6
Patriotic American Cheese	3	23	9
Pay It Forward Pass	4	16	3
Pay Scale Back	3	12	3
Pay Top Dollar Sign	4	16	3
Payment Method Acting	3	19	7
Peace Sign Of The Times	5	19	5
Peach Pit Bull	3	12	5
Peanut Butter Him Up	4	17	6
Peanut-Butter-Dipped Cookies	2	25	18
Pearl Jam Session	3	15	5
Peer Pressure Cooker	3	18	4
Penalty Box Of Cookies	4	19	7
Pencil Skirt Steak	3	16	6
Peppermint Oil Field	3	18	10
Performing Arts And Crafts	4	23	10
Period Piece Of Cake	4	17	6
Perish The Thought Process	4	23	6
Permanent Press Zero For An Operator	6	31	9
Perseverance Trail Mix	3	20	12
Personal Data Entry	3	17	8
Pet Rock Concert	3	14	3
Pet Rock Quarry	3	13	3
Petrified Wood Spoon	3	18	9
Petty Cash Cow	3	12	5
Photo Finish Your Veggies	4	22	5
Photo Shoot For The Stars	5	21	5
Physically Fit As A Fiddle	5	22	10
Piano Bench Press	3	15	5
Piano Bench-Press	2	15	5
Picnic Table Of Contents	4	21	6
Picture Frame Of Reference	4	23	7
Picture Window Of Opportunity	4	26	7
Picture-Perfect Vacation	2	22	14
Pillbox Hat In Hand	4	16	7
Pink Floyd Mayweather	3	19	4
Pink Slip Of The Tongue	5	19	4
Pioneer Courthouse Square Mile	4	27	7
Pioneer Courthouse Square Root	4	27	7
Pirate Ship Captain	3	17	6
Pit Bull Shark	3	12	3
Pit Crew Socks	3	12	3
Pit Stop Sign	3	11	3
Pita Pocket Protector	3	19	4
Pittsburgh Pirates Of Penzance	4	27	10
Pittsburgh Pirates Of The Caribbean	5	31	10
Pitty-Pat Sajak	2	13	8
Pizza Delivery Room	3	17	5
Pizza Wheel Of Fortune	4	19	5
Plaster Of Paris France	4	20	7
Plastic Surgeon General	3	21	7
Playing The Harp Seal	4	18	7
Plymouth Colony Of Bees	4	20	8
Plymouth Rock Music	3	17	8
Plymouth Rock Of Ages	4	18	8
Plymouth Rock Of Gibraltar	4	23	8
Plymouth Rock The Boat	4	19	8
Plymouth Rock-Hard Abs	3	19	8
Pocket Change Is Inevitable	4	24	6
Pogo Stick Of Gum	4	14	4
Point Of No Return Postage	5	22	5
Poison Ivy Cap	3	12	6
Poison Ivy League	3	15	6
Poison Ivy League School	4	21	6
Poker Chip Off The Old Block	6	23	5
Poker Chips & Dip	3	13	5
Poker Chips And Salsa	4	18	5
Poker Hand Sanitizer	3	18	5
Police Force Field	3	16	6
Political Party Favors	3	20	9
Politics As Usual Suspects	4	23	8
Polly Want A Cracker Jacks	5	22	5
Pony Express Yourself	3	19	4
Porky Pig Latin	3	13	5
Port Of Call Of The Wild	6	19	4
Port Of Call Waiting	4	17	4
Port Of Entry-Level Position	4	24	4
Portable Fan Club	3	15	8
Port-Of-Call Of The Wild	4	19	10
Ports Of Call Me Sometime	5	21	5
Postage Meter Maid	3	16	7
Postage Stamp Your Feet	4	20	7
Postmaster General Admission Ticket	4	32	10
Potato Chip On Your Shoulder	5	24	6
Pottery Wheel Of Fortune	4	21	7
Pound Sign Of The Times	5	19	5
Powdered Sugar Daddy	3	18	8
Power Station Call Letters	4	23	5
Power Suit Up	3	11	5
Power Trip Planner	3	16	5
Power Walk Don't Run	4	16	5
Practice Makes Perfect Strangers	4	29	8
Presidential Library Of Congress	4	29	12
Pressed For Time Is On My Side	7	24	7
Pressing Engagement Ring	3	22	8
Pretty In Pink Lemonade	4	20	6
Pretty In Pink Panther	4	19	6
Pretzel Sticks Of Gum	4	18	7
Price Per Pound Cake	4	17	5
Price Per Pound Of Flesh	5	20	5
Price Tag You'Re It!	4	15	5
Price Tag-You'Re It	3	15	5
